time,Open MSFT,High MSFT,Low MSFT,Close MSFT,Volume MSFT,Open GOOG,High GOOG,Low GOOG,Close GOOG,Volume GOOG,Open GOLD,High GOLD,Low GOLD,Close GOLD,Volume GOLD,Open SP500,High SP500,Low SP500,Close SP500,Volume SP500,Open DJI30,High DJI30,Low DJI30,Close DJI30,Volume DJI30,Open AAPL,High AAPL,Low AAPL,Close AAPL,Volume AAPL,Open EUR/USD,High EUR/USD,Low EUR/USD,Close EUR/USD,Open USD/CAD,High USD/CAD,Low USD/CAD,Close USD/CAD,Open USD/AUD,High USD/AUD,Low USD/AUD,Close USD/AUD,Open USD/CNY,High USD/CNY,Low USD/CNY,Close USD/CNY,Open USD/GBP,High USD/GBP,Low USD/GBP,Close USD/GBP,Open AMZN,High AMZN,Low AMZN,Close AMZN,Volume AMZN,Open CAC40,High CAC40,Low CAC40,Close CAC40,Volume CAC40,Open DAX30,High DAX30,Low DAX30,Close DAX30,Volume DAX30,Open RUSSEL2000,High RUSSEL2000,Low RUSSEL2000,Close RUSSEL2000,Volume RUSSEL2000,Open EUROSTOCK50,High EUROSTOCK50,Low EUROSTOCK50,Close EUROSTOCK50,Volume EUROSTOCK50,Open INTEL,High INTEL,Low INTEL,Close INTEL,Volume INTEL
2020-03-18,138.0000,146.0000,135.0200,140.4000,80794307,1056.5100,1106.5000,1037.2800,1096.8000,4220935,17.0800,17.9800,15.4450,15.8800,30208367,2436.5000,2453.5701,2280.5200,2398.1001,901816472,20188.6895,20489.3301,18917.4609,19898.9199,871360000,239.7700,250.0000,237.1200,246.6700,74377540,1.1015,1.1045,1.0801,1.0933,1.4231,1.4651,1.4162,1.4481,1.6697,1.7528,1.6591,1.7269,7.0132,7.0478,7.0073,7.0475,0.8281,0.8703,0.8244,0.8589,1750.0000,1841.6600,1745.0000,1830.0000,9512897,3905.5300,3908.7200,3726.4500,3754.8401,214274700,8613.3496,8670.4102,8400.1797,8441.7100,207558900,1057.6499,1062.8826,966.2156,991.1641,0,2507.3301,2507.3301,2365.7000,2385.8201,98214900,30.2400,32.4550,28.0100,29.2000,192337
2020-03-17,140.0000,147.4998,135.0000,146.5700,81059817,1093.1100,1130.8600,1056.0100,1119.8000,3861489,16.2100,18.5900,16.1300,17.7100,32043530,2426.6181,2437.2174,2421.7897,2436.5000,510792,20487.0508,21379.3496,19882.2598,21237.3809,793060000,247.5100,257.6100,238.4000,252.8600,81013965,1.1168,1.1189,1.0954,1.1015,1.3992,1.4277,1.3959,1.4228,1.6329,1.6775,1.6273,1.6699,6.9932,7.0233,6.9870,7.0047,0.8149,0.8329,0.8148,0.8281,1775.4700,1857.7800,1689.2400,1807.8400,10917129,4041.3301,4042.4600,3759.0000,3991.7800,225787000,9141.1699,9145.9297,8423.5596,8939.0996,220092600,1063.1651,1063.2460,1051.0800,1057.6499,779778,2475.1799,2555.4099,2376.2300,2530.5000,106905300,29.0600,33.8000,28.7900,32.4000,273967
2020-03-16,140.0000,149.3500,135.0000,135.4200,87905868,1096.0000,1152.2700,1074.4400,1084.3300,4252365,13.2100,17.1500,12.6500,16.3300,36592679,2418.0191,2434.2419,2412.7850,2426.6181,292505,20917.5293,21768.2793,20116.4609,20188.5195,770130000,241.9500,259.0800,240.0000,242.2100,80605865,1.1157,1.1237,1.1084,1.1168,1.3846,1.4019,1.3786,1.3991,1.6207,1.6442,1.6086,1.6327,7.0020,7.0236,6.9925,6.9931,0.8063,0.8194,0.8051,0.8152,1641.5100,1759.4500,1626.0300,1689.1500,8917265,3886.8201,3962.0100,3632.0601,3881.4600,311603900,8728.4805,8967.1104,8255.6504,8742.2500,302202400,1054.1179,1070.6257,1053.2714,1063.1651,805538,2557.7100,2557.7100,2302.8401,2450.3701,137137000,30.1100,32.8450,28.6200,29.0100,97928
2020-03-13,147.5000,161.9100,140.7300,158.8300,92727446,1179.0000,1219.7600,1117.1400,1219.7300,3700125,17.4500,17.6100,15.0600,15.6700,31086787,2420.8827,2422.0944,2399.4778,2418.0191,869276,21973.8203,23189.7598,21285.3691,23185.6191,843080000,264.8900,279.9200,252.9500,277.9700,92683032,1.1176,1.1221,1.1053,1.1105,1.3923,1.3995,1.3778,1.3804,1.5888,1.6320,1.5806,1.6179,7.0283,7.0334,6.9773,7.0087,0.7948,0.8146,0.7921,0.8134,1755.0000,1786.3100,1680.6200,1785.0000,8809725,4234.3701,4438.5098,4055.1899,4118.3599,326461800,9480.7803,9985.7402,9064.6797,9232.0801,325900900,1058.5250,1061.8434,1052.2232,1054.1179,550756,2584.3601,2793.2700,2537.2700,2586.0200,136547100,33.8700,35.0077,31.0000,33.0000,126388
2020-03-12,145.3000,153.4700,138.5800,139.0600,93226366,1126.0000,1193.8700,1113.3000,1114.9100,4226748,16.9700,18.0000,15.4700,16.8800,33496744,2423.1280,2429.1220,2406.5553,2420.8827,418898,22184.7109,22837.9492,21154.4609,21200.6191,908260000,255.9400,270.0000,248.0000,248.2300,104618517,1.1259,1.1334,1.1054,1.1176,1.3771,1.3963,1.3704,1.3922,1.5427,1.6090,1.5412,1.5907,6.9770,7.0367,6.9685,7.0298,0.7807,0.8002,0.7782,0.7949,1721.9800,1765.0000,1675.0000,1676.6100,11346214,4374.6699,4404.2598,4025.8899,4044.2600,371403200,9863.9902,9932.5596,9139.1201,9161.1299,390477000,1068.1112,1069.0863,1050.3913,1058.5250,612402,2883.2500,2883.2500,2535.8899,2545.2300,167329900,35.2900,36.0432,32.3300,32.4300,145336
2020-03-11,157.1304,157.7000,151.1500,153.6300,56504304,1249.7000,1260.9600,1196.0700,1215.4100,2611229,19.5300,19.9000,18.5100,18.7900,22054498,2425.1519,2428.2945,2420.6934,2423.1280,529682,24604.6309,24604.6309,23328.3203,23553.2207,663960000,277.3900,281.2200,271.8600,275.4300,64094970,1.1308,1.1367,1.1249,1.1258,1.3710,1.3795,1.3677,1.3770,1.5366,1.5445,1.5291,1.5427,6.9633,6.9653,6.9458,6.9606,0.7750,0.7807,0.7706,0.7802,1857.8500,1871.3200,1801.5000,1820.8600,5646831,4716.2202,4766.0000,4603.0498,4610.2500,206895800,10601.8496,10761.4297,10390.5098,10438.6797,216708900,1066.7845,1077.7986,1058.2544,1068.1112,568772,2924.9299,2998.6499,2893.4299,2905.5601,87723500,37.4600,37.9700,36.7800,37.8100,99727
2020-03-10,158.1600,161.0300,152.5800,160.9200,65354385,1260.0000,1281.1500,1218.7700,1280.3900,2611373,20.0500,20.4301,19.0850,19.8700,22901063,2444.4160,2447.5234,2416.0156,2425.1519,877615,24453.0000,25020.9902,23690.3398,25018.1602,654860000,277.1400,286.4400,269.3700,285.3400,71322520,1.1439,1.1439,1.1274,1.1307,1.3656,1.3796,1.3604,1.3710,1.5132,1.5469,1.5132,1.5365,6.9403,6.9607,6.9311,6.9580,0.7635,0.7768,0.7635,0.7749,1870.8800,1894.2700,1818.1700,1891.8200,7133310,4770.6201,4924.8398,4615.1602,4636.6099,280309600,10724.9805,11032.2900,10423.9004,10475.4902,267400800,1068.3158,1072.1551,1056.4493,1066.7845,477115,2973.6101,3088.5701,2896.7400,2910.0200,118221300,38.5100,39.6521,36.9300,38.4500,164668
2020-03-09,151.0000,157.7500,150.0000,150.6200,70419274,1205.3000,1254.7600,1200.0000,1215.5600,3365365,20.5100,20.9000,19.9000,19.9300,23610085,2455.8245,2460.4507,2442.0041,2444.4160,882697,24992.3594,24992.3594,23706.0703,23851.0195,750430000,263.7500,278.0900,263.0000,266.1700,71686208,1.1387,1.1496,1.1355,1.1438,1.3617,1.3760,1.3513,1.3656,1.5125,1.5549,1.4957,1.5132,6.9104,6.9537,6.9104,6.9465,0.7639,0.7671,0.7576,0.7634,1773.8600,1862.7700,1761.2900,1800.6100,7813232,4845.2700,4863.3398,4691.2002,4707.9102,329160800,10690.0801,10995.2197,10556.6396,10625.0195,305324300,1074.2547,1075.1074,1060.3051,1068.3158,984108,3214.2000,3214.2000,2939.8501,2959.0701,143365800,38.1600,38.5700,35.8300,37.4600,90659
2020-03-06,162.6100,163.1100,156.0000,161.5700,72821057,1277.0600,1306.2200,1261.0500,1298.4100,2660628,21.5200,21.8300,20.4200,21.2300,28036558,2459.1330,2464.8346,2451.2581,2455.8245,717787,25457.2109,25994.3809,25226.6191,25864.7793,599780000,282.0000,290.8200,281.2300,289.0300,56544246,1.1230,1.1355,1.1211,1.1285,1.3406,1.3439,1.3375,1.3423,1.5119,1.5183,1.5015,1.5046,6.9430,6.9580,6.9257,6.9311,0.7719,0.7724,0.7662,0.7665,1875.0000,1910.8700,1869.5000,1901.0900,5273580,5253.8198,5284.0801,5117.5698,5139.1099,198425500,11694.5596,11769.8496,11447.2002,11541.8701,195038500,1077.0612,1078.3445,1065.9707,1074.2547,99095,3347.8301,3347.8301,3216.4399,3232.0701,85089300,42.7600,42.8300,40.2000,40.4800,147183
2020-03-05,166.0450,170.8700,165.6900,166.2700,47817251,1350.2000,1358.9100,1305.1000,1319.0400,2561288,20.8800,21.3600,20.6250,21.1600,27892677,2461.4813,2466.7552,2441.0146,2459.1330,96034,26671.9199,26671.9199,25943.3301,26121.2793,477370000,295.5200,299.5500,291.4100,292.9200,46893219,1.1133,1.1245,1.1118,1.1231,1.3387,1.3439,1.3379,1.3404,1.5100,1.5182,1.5062,1.5115,6.9404,6.9439,6.9338,6.9362,0.7769,0.7776,0.7712,0.7720,1933.0000,1960.7200,1910.0000,1924.0300,4748210,5490.5200,5494.1602,5329.2402,5361.1001,155475900,12191.4102,12207.7695,11844.8799,11944.7197,148086000,1087.0960,1087.2852,1076.6807,1077.0612,249723,3431.7800,3438.0601,3338.4099,3363.5801,73060200,45.9500,46.1300,43.5800,43.5800,123620
2020-03-04,168.4850,170.7000,165.6200,170.5500,49814383,1359.2300,1388.0900,1343.1100,1386.5200,1913315,21.0000,21.0498,20.1600,20.5500,23242243,2479.5650,2483.6466,2454.9715,2461.4813,582598,26383.6797,27102.3398,26286.3105,27090.8594,457590000,296.4400,303.4000,293.1300,302.7400,54794568,1.1169,1.1188,1.1094,1.1133,1.3382,1.3431,1.3326,1.3387,1.5181,1.5202,1.5083,1.5098,6.9454,6.9518,6.9225,6.9260,0.7803,0.7829,0.7768,0.7771,1946.5700,1978.0000,1922.0000,1975.8300,4772919,5400.4302,5493.2500,5357.3501,5464.8901,152463500,11992.5898,12199.8203,11929.2402,12127.6904,147845700,1085.5207,1094.8398,1082.3594,1087.0960,976275,3374.0000,3438.2100,3350.2300,3420.5601,66431500,46.5400,46.9900,45.4100,46.9200,47391
